#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
60.2%	301000	296.95597464428437	27.5	20:50
60.4%	302000	299.2478472578164	27.5	20:46
60.6%	303000	299.98143848347553	27.4	20:41
60.8%	304000	298.2024973602739	27.4	20:37
61.0%	305000	300.93248962231536	27.3	20:33
61.2%	306000	300.24343992095686	27.3	20:29
61.4%	307000	297.7392591079025	27.2	20:24
61.6%	308000	297.8046314743869	27.2	20:20
61.8%	309000	299.34876964836553	27.1	20:16
62.0%	310000	298.9589033178486	27.1	20:11
62.2%	311000	299.717357161598	27.1	20:07
62.4%	312000	301.31634028719395	27	20:02
62.6%	313000	300.77771422501473	27	19:57
62.8%	314000	300.3073083710317	26.9	19:53
63.0%	315000	300.27726204106165	26.9	19:48
63.2%	316000	299.4177578138772	26.9	19:43
63.4%	317000	299.7299324626398	26.8	19:39
63.6%	318000	298.68938229831934	26.8	19:34
63.8%	319000	298.73705964832516	26.7	19:29
64.0%	320000	299.55845399372646	26.7	19:24
64.2%	321000	294.6053212978928	26.7	19:20
64.4%	322000	297.06883237144564	26.6	19:15
64.6%	323000	297.63532888453426	26.6	19:10
64.8%	324000	299.60942716054467	26.6	19:05
65.0%	325000	299.27296586167853	26.5	19:00
65.2%	326000	298.17869068349256	26.5	18:55
65.4%	327000	299.6576164820941	26.4	18:50
65.6%	328000	300.76030719252947	26.4	18:45
65.8%	329000	299.802152448521	26.4	18:40
66.0%	330000	300.13733381852796	26.3	18:35
66.2%	331000	299.83447065221617	26.3	18:30
66.4%	332000	299.48005835109956	26.3	18:25
66.6%	333000	299.2970925206747	26.2	18:20
66.8%	334000	298.65923997368486	26.2	18:15
67.0%	335000	298.64487277224015	26.2	18:09
67.2%	336000	298.67175127828364	26.1	18:04
67.4%	337000	298.67738296526426	26.1	17:59
67.6%	338000	298.4725943477898	26.1	17:54
67.8%	339000	298.7791693077933	26	17:48
68.0%	340000	298.8326703341085	26	17:43
68.2%	341000	299.7529711821056	26	17:38
68.4%	342000	298.74448323570857	25.9	17:32
68.6%	343000	301.0135731155466	25.9	17:27
68.8%	344000	297.73778718971437	25.9	17:22
69.0%	345000	298.6930940920111	25.8	17:16
69.2%	346000	297.5459258537181	25.8	17:11
69.4%	347000	297.5000724023367	25.8	17:06
69.6%	348000	296.7513140196958	25.7	17:00
69.8%	349000	297.8861949409404	25.7	16:55
70.0%	350000	298.9020744764995	25.7	16:49
70.2%	351000	301.26594308836235	25.6	16:44
70.4%	352000	299.42086164136083	25.6	16:38
70.6%	353000	299.7997205836885	25.6	16:32
70.8%	354000	297.87521955097264	25.6	16:27
71.0%	355000	297.7513224374006	25.5	16:21
71.2%	356000	300.10453564151055	25.5	16:15
71.4%	357000	300.33985056227726	25.5	16:10
71.6%	358000	299.69198257196405	25.4	16:04
71.8%	359000	300.1697480168876	25.4	15:58
72.0%	360000	298.1413167608035	25.4	15:53
72.2%	361000	299.6951503958906	25.4	15:47
72.4%	362000	296.34964034545266	25.3	15:41
72.6%	363000	298.9584233445264	25.3	15:35
72.8%	364000	300.60559579167176	25.3	15:29
73.0%	365000	296.93280793193253	25.2	15:24
73.2%	366000	299.17642722747223	25.2	15:18
73.4%	367000	299.3275868257455	25.2	15:12
73.6%	368000	299.61269097913566	25.2	15:06
73.8%	369000	296.75304192365576	25.1	15:00
74.0%	370000	298.03079490381026	25.1	14:54
74.2%	371000	300.1541328848051	25.1	14:48
74.4%	372000	299.09172793521367	25.1	14:42
74.6%	373000	300.3014526965008	25	14:36
74.8%	374000	300.69528680648125	25	14:30
75.0%	375000	299.35180947940614	25	14:24
75.2%	376000	298.3751597633821	25	14:18
75.4%	377000	297.0033320120753	24.9	14:12
75.6%	378000	299.41283008776924	24.9	14:06
75.8%	379000	297.26504546556333	24.9	13:59
76.0%	380000	298.5744766849833	24.9	13:53
76.2%	381000	296.1070618284099	24.8	13:47
76.4%	382000	298.03559463703226	24.8	13:41
76.6%	383000	299.7738020242894	24.8	13:35
76.8%	384000	299.1819309215668	24.8	13:29
77.0%	385000	299.37740805659047	24.8	13:22
77.2%	386000	299.4786504293544	24.7	13:16
77.4%	387000	300.21563346649043	24.7	13:10
77.6%	388000	299.18599469569483	24.7	13:03
77.8%	389000	300.2361123282379	24.7	12:57
78.0%	390000	296.71982776975915	24.6	12:51
78.2%	391000	299.7347641940833	24.6	12:45
78.4%	392000	301.91544298797106	24.6	12:38
78.6%	393000	298.7178607154369	24.6	12:32
78.8%	394000	297.54915767408755	24.6	12:26
79.0%	395000	295.6908289633932	24.5	12:19
79.2%	396000	298.8275506186717	24.5	12:13
79.4%	397000	299.4748426409982	24.5	12:06
79.6%	398000	300.1819393392716	24.5	12:00
79.8%	399000	298.91560972418563	24.4	11:54
80.0%	400000	299.1979620305285	24.4	11:47
80.2%	401000	298.62711375931855	24.4	11:41
80.4%	402000	297.58377974972933	24.4	11:34
80.6%	403000	299.48213823549577	24.4	11:28
80.8%	404000	301.850294609037	24.3	11:21
81.0%	405000	299.80874408214595	24.3	11:15
81.2%	406000	297.29342788801637	24.3	11:08
81.4%	407000	298.4275088537239	24.3	11:01
81.6%	408000	300.8002729711584	24.3	10:55
81.8%	409000	299.77744982153814	24.2	10:48
82.0%	410000	297.83982951801534	24.2	10:42
82.2%	411000	300.7303248590023	24.2	10:35
82.4%	412000	298.90857011545995	24.2	10:29
82.6%	413000	298.95723941033157	24.1	10:22
82.8%	414000	297.995276877967	24.1	10:15
83.0%	415000	300.8934197938878	24.1	10:09
83.2%	416000	299.1243661211236	24.1	10:02
83.4%	417000	300.4924180822957	24.1	9:56
83.6%	418000	299.58453254423296	24	9:49
83.8%	419000	297.9330723354092	24	9:42
84.0%	420000	298.0997830693219	24	9:35
84.2%	421000	299.034003143663	24	9:29
84.4%	422000	300.7400203201109	24	9:22
84.6%	423000	300.7373964659495	23.9	9:15
84.8%	424000	301.59475681229475	23.9	9:09
85.0%	425000	297.925200772925	23.9	9:02
85.2%	426000	299.4280292429724	23.9	8:55
85.4%	427000	299.3980789076668	23.9	8:48
85.6%	428000	301.65408151491937	23.8	8:41
85.8%	429000	301.6476818706233	23.8	8:35
86.0%	430000	300.79089749226466	23.8	8:28
86.2%	431000	298.7410914242317	23.8	8:21
86.4%	432000	299.69732627495125	23.8	8:14
86.6%	433000	298.4942891419535	23.7	8:07
86.8%	434000	299.47340272103156	23.7	8:00
87.0%	435000	301.45236472670706	23.7	7:53
87.2%	436000	298.48068989782433	23.7	7:46
87.4%	437000	297.03341034026687	23.7	7:39
87.6%	438000	297.5471417861343	23.7	7:32
87.8%	439000	298.4810418782606	23.6	7:25
88.0%	440000	296.97987731573016	23.6	7:18
88.2%	441000	298.5499980455508	23.6	7:11
88.4%	442000	299.08955205615297	23.6	7:04
88.6%	443000	299.19485820304493	23.6	6:57
88.8%	444000	299.6454891561531	23.6	6:50
89.0%	445000	299.9103064371247	23.6	6:43
89.2%	446000	297.9289765630597	23.5	6:36
89.4%	447000	299.806216222649	23.5	6:29
89.6%	448000	299.461307393312	23.5	6:22
89.8%	449000	298.8396459463912	23.5	6:15
90.0%	450000	301.0982084113622	23.5	6:08
90.2%	451000	299.9141782219238	23.5	6:00
90.4%	452000	299.66539204991386	23.4	5:53
90.6%	453000	300.24939159015224	23.4	5:46
90.8%	454000	299.4242854510592	23.4	5:39
91.0%	455000	297.63337699302394	23.4	5:32
91.2%	456000	296.74040262617103	23.4	5:25
91.4%	457000	300.6755119056064	23.4	5:17
91.6%	458000	301.6394263294813	23.4	5:10
91.8%	459000	300.65589699583893	23.3	5:03
92.0%	460000	298.9986131107057	23.3	4:56
92.2%	461000	299.213449169725	23.3	4:49
92.4%	462000	296.84654072682144	23.3	4:41
92.6%	463000	298.42130119875674	23.3	4:34
92.8%	464000	298.85721296998395	23.3	4:27
93.0%	465000	300.3133560348915	23.3	4:20
93.2%	466000	297.39086247242415	23.2	4:12
93.4%	467000	299.7013580508578	23.2	4:05
93.6%	468000	298.37976750727523	23.2	3:58
93.8%	469000	301.2723107344369	23.2	3:50
94.0%	470000	302.8113931894216	23.2	3:43
94.2%	471000	298.195905726649	23.2	3:36
94.4%	472000	298.6145384582768	23.2	3:28
94.6%	473000	299.462971300829	23.1	3:21
94.8%	474000	297.731899516962	23.1	3:14
95.0%	475000	300.6277705591577	23.1	3:06
95.2%	476000	300.4448047287329	23.1	2:59
95.4%	477000	299.9600956697481	23.1	2:52
95.6%	478000	298.4563712494992	23.1	2:44
95.8%	479000	297.43143621726125	23.1	2:37
96.0%	480000	297.5430780120063	23.1	2:29
96.2%	481000	299.0346751063141	23	2:22
96.4%	482000	298.97899820093824	23	2:15
96.6%	483000	299.34675376041224	23	2:07
96.8%	484000	299.2873010649017	23	2:00
97.0%	485000	299.31629145356294	23	1:52
97.2%	486000	300.7948652717282	23	1:45
97.4%	487000	298.87938773746987	23	1:37
97.6%	488000	299.4820742390528	22.9	1:30
97.8%	489000	298.83062244793376	22.9	1:22
98.0%	490000	301.2703588429266	22.9	1:15
98.2%	491000	298.58439613364226	22.9	1:07
98.4%	492000	298.5784124662254	22.9	1:00
98.6%	493000	298.8581409184069	22.9	0:52
98.8%	494000	298.5632453092437	22.9	0:45
99.0%	495000	297.02000308546656	22.9	0:37
99.2%	496000	298.610154701934	22.8	0:30
99.4%	497000	298.60906676240364	22.8	0:22
99.6%	498000	300.2158894522623	22.8	0:15
99.8%	499000	301.012197192023	22.8	0:07
100.0%	500000	299.2064095609993	22.8	0:00
