#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
8.4%	42000	-52636.50331901433	13414.59043098567	298.46601162663694	0.9588974058921507	47.7	27:38
8.6%	43000	-51914.59511588933	13793.84238411067	296.91764598285926	0.9588974058921507	47.6	27:37
8.8%	44000	-52265.81826042058	13708.13486457942	298.11743519328854	0.9588974058921507	47.6	27:37
9.0%	45000	-52156.98867057683	14215.30039192317	299.91740142856656	0.9588974058921507	47.5	27:34
9.2%	46000	-52943.43056510808	13931.72568489192	302.18971450182323	0.9588974058921507	47.5	27:32
9.4%	47000	-52004.28261588933	13259.99863411067	294.91063085335514	0.9588974058921507	47.4	27:31
9.6%	48000	-52031.14296745183	14274.09922004817	299.6144357661201	0.9588974058921507	47.3	27:30
9.8%	49000	-51412.91445182683	14801.44492317317	299.203762315731	0.9588974058921507	47.3	27:28
10.0%	50000	-51988.18300651433	14193.06699348567	299.0541505145835	0.9588974058921507	47.2	27:27
10.2%	51000	-52099.98769401433	13765.54355598567	297.62750773308915	0.9588974058921507	47.2	27:24
10.4%	52000	-52872.55654167058	13313.28720832942	299.0749083576875	0.9588974058921507	47.1	27:22
10.6%	53000	-52153.54579948308	13654.20420051692	297.3664107813933	0.9588974058921507	47.1	27:20
10.8%	54000	-51662.72451042058	14773.50986457942	300.2063520166724	0.9588974058921507	47	27:19
11.0%	55000	-50345.29628776433	15302.35214973567	296.6429575862739	0.9588974058921507	47	27:17
11.2%	56000	-51936.39931510808	14308.54599739192	299.3419714241531	0.9588974058921507	46.9	27:15
11.4%	57000	-51860.17910026433	13986.27402473567	297.5412991397899	0.9588974058921507	46.9	27:13
11.6%	58000	-53214.42714713933	13481.72129036067	301.3808293673983	0.9588974058921507	46.8	27:11
11.8%	59000	-51996.01015495183	14357.55234504817	299.832781445709	0.9588974058921507	46.8	27:09
12.0%	60000	-51901.04433463933	13549.33066536067	295.75153531379254	0.9588974058921507	46.7	27:07
12.2%	61000	-51770.94374870183	13953.91562629817	296.9918517417106	0.9588974058921507	46.7	27:05
12.4%	62000	-52311.30605338933	13853.45957161067	298.97966233609804	0.9588974058921507	46.6	27:03
12.6%	63000	-51651.03261588933	13642.84629036067	295.0443742013135	0.9588974058921507	46.6	27:00
12.8%	64000	-52971.02870963933	13131.94004036067	298.7004199229134	0.9588974058921507	46.6	26:57
13.0%	65000	-53147.67617057683	13349.94882942317	300.48375870223566	0.9588974058921507	46.5	26:55
13.2%	66000	-52264.63906120183	13601.00156379817	297.62800196744877	0.9588974058921507	46.5	26:54
13.4%	67000	-51946.90956901433	14293.03574348567	299.3193778534276	0.9588974058921507	46.4	26:52
13.6%	68000	-51554.06874870183	14190.79843879817	297.08226132706665	0.9588974058921507	46.3	26:50
13.8%	69000	-52054.87636588933	13468.60019661067	296.0818603782893	0.9588974058921507	46.3	26:48
14.0%	70000	-51359.00087760808	15493.96787239192	302.0894555317292	0.9588974058921507	46.2	26:46
14.2%	71000	-51990.64638542058	14342.11923957942	299.73880631247283	0.9588974058921507	46.2	26:45
14.4%	72000	-51520.32460807683	14561.76914192317	298.6060917651347	0.9588974058921507	46.1	26:44
14.6%	73000	-51644.03652213933	14757.51035286067	300.0496091197646	0.9588974058921507	46	26:43
14.8%	74000	-52202.23427604558	13990.91416145442	299.1079161524192	0.9588974058921507	46	26:41
15.0%	75000	-52896.27187370183	12983.64218879817	297.69249955137906	0.9588974058921507	45.9	26:39
15.2%	76000	-52665.56191276433	13868.08652473567	300.6465383188216	0.9588974058921507	45.8	26:38
15.4%	77000	-52612.75429557683	13527.26132942317	298.86782416100715	0.9588974058921507	45.8	26:36
15.6%	78000	-52531.28456901433	13090.90293098567	296.52790688784546	0.9588974058921507	45.7	26:34
15.8%	79000	-52760.06044792058	13455.89267707942	299.21096401639977	0.9588974058921507	45.7	26:33
16.0%	80000	-53555.35683463933	11974.62363411067	296.1112496714595	0.9588974058921507	45.6	26:30
16.2%	81000	-53618.67812370183	12548.97812629817	298.9927242441737	0.9588974058921507	45.6	26:28
16.4%	82000	-53684.32851432683	12645.24961067317	299.7244029111353	0.9588974058921507	45.6	26:25
16.6%	83000	-52927.37343620183	13067.76718879817	298.2131754492376	0.9588974058921507	45.5	26:22
16.8%	84000	-51199.71718620183	15102.81406379817	299.60218581449243	0.9588974058921507	45.5	26:20
17.0%	85000	-52641.54921745183	13552.62265754817	299.1125407739271	0.9588974058921507	45.5	26:17
17.2%	86000	-54243.18300651433	12482.44980598567	301.5140608297699	0.9588974058921507	45.4	26:15
17.4%	87000	-52543.39980338933	13618.81894661067	298.9681537360098	0.9588974058921507	45.4	26:12
17.6%	88000	-52329.83339713933	14426.82285286067	301.65424687563035	0.9588974058921507	45.3	26:10
17.8%	89000	-51813.52089713933	14934.79941536067	301.61657915693655	0.9588974058921507	45.3	26:07
18.0%	90000	-52521.66738151433	13741.94199348567	299.4263089873766	0.9588974058921507	45.3	26:05
18.2%	91000	-52575.82656120183	13052.57187629817	296.55597233898095	0.9588974058921507	45.2	26:03
18.4%	92000	-50659.25234245183	14969.45859504817	296.5573844371513	0.9588974058921507	45.2	26:01
18.6%	93000	-51940.06093620183	14200.61875129817	298.8708248696191	0.9588974058921507	45.1	25:59
18.8%	94000	-52078.84365104558	14360.96884895442	300.2225205407227	0.9588974058921507	45.1	25:55
19.0%	95000	-53233.30214713933	12684.50254036067	297.8637164545327	0.9588974058921507	45.1	25:52
19.2%	96000	-52561.72890495183	13091.82578254817	296.66964624169333	0.9588974058921507	45	25:50
19.4%	97000	-52723.52968620183	13239.58750129817	298.068470689232	0.9588974058921507	45	25:47
19.6%	98000	-52014.34072135808	14218.69834114192	299.28817048386315	0.9588974058921507	45	25:44
19.8%	99000	-51384.45302604558	14636.24228645442	298.32864977711716	0.9588974058921507	45	25:41
20.0%	100000	-51360.75429557683	15036.11289192317	300.0284629496638	0.9588974058921507	44.9	25:38
20.2%	101000	-50849.63076042058	15745.46298957942	300.92419212156466	0.9588974058921507	44.9	25:35
20.4%	102000	-50436.88710807683	16168.20664192317	300.9693792630155	0.9588974058921507	44.9	25:31
20.6%	103000	-50123.78749870183	16061.69687629817	299.0732844447916	0.9588974058921507	44.9	25:29
20.8%	104000	-49726.22646354558	16976.43759895442	301.4102716142499	0.9588974058921507	44.8	25:26
21.0%	105000	-50520.99355338933	15522.91269661067	298.43353336871917	0.9588974058921507	44.8	25:23
21.2%	106000	-49920.02577995183	15702.77109504817	296.5306604792776	0.9588974058921507	44.8	25:19
21.4%	107000	-50525.98964713933	15221.90879036067	297.0959586793189	0.9588974058921507	44.8	25:16
21.6%	108000	-50887.11367057683	15161.19882942317	298.45344395292096	0.9588974058921507	44.8	25:13
21.8%	109000	-51495.60683463933	14542.72129036067	298.4083274163786	0.9588974058921507	44.7	25:10
22.0%	110000	-51846.20449088933	14082.94394661067	297.9149756181161	0.9588974058921507	44.7	25:06
22.2%	111000	-50730.44374870183	16087.37656379817	301.9306297900202	0.9588974058921507	44.7	25:03
22.4%	112000	-50734.88320182683	15290.53086067317	298.3499724594893	0.9588974058921507	44.7	25:00
22.6%	113000	-52211.55605338933	14590.50644661067	301.85942473978076	0.9588974058921507	44.7	24:56
22.8%	114000	-51267.42714713933	15308.04160286067	300.83551235646735	0.9588974058921507	44.7	24:53
23.0%	115000	-51356.89199088933	15517.35800911067	302.1856194171293	0.9588974058921507	44.6	24:50
