#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
7.8%	39000	1603927.1084971838	1933915.1709971838	303.74194629672274	0.9720914934821634	22.2	59:44
8.0%	40000	1597371.7569346838	1927140.5694346838	303.5401346880814	0.9720914934821634	22	1:00:07
8.2%	41000	1584340.7452159338	1913267.6514659338	302.76519076727106	0.9720914934821634	21.8	1:00:32
8.4%	42000	1573443.6045909338	1902079.5420909338	302.49736467148153	0.9720914934821634	21.6	1:00:59
8.6%	43000	1567506.2061534338	1895565.3936534338	301.9664873839838	0.9720914934821634	21.4	1:01:25
8.8%	44000	1563836.8038096838	1892683.1163096838	302.69100716711625	0.9720914934821634	21.2	1:01:48
9.0%	45000	1551586.4756846838	1879994.0381846838	302.28715383397423	0.9720914934821634	21.1	1:02:10
9.2%	46000	1544660.9209971838	1871690.4522471838	301.0187264528089	0.9720914934821634	20.9	1:02:30
9.4%	47000	1531247.4913096838	1856553.7413096838	299.4325090698948	0.9720914934821634	20.7	1:02:52
9.6%	48000	1523217.6827159338	1852354.3077159338	302.95822920877504	0.9720914934821634	20.6	1:03:12
9.8%	49000	1521641.3897471838	1848440.2959971838	300.8064445725676	0.9720914934821634	20.5	1:03:28
10.0%	50000	1516896.2491221838	1843205.2178721838	300.3554750172258	0.9720914934821634	20.3	1:03:43
10.2%	51000	1508047.0967784338	1835425.2217784338	301.33959425417635	0.9720914934821634	20.2	1:03:58
10.4%	52000	1502257.1709971838	1828200.7334971838	300.01913192431766	0.9720914934821634	20.1	1:04:13
10.6%	53000	1495239.7725596838	1821204.1163096838	300.0382603051254	0.9720914934821634	20	1:04:27
10.8%	54000	1488497.4053721838	1815627.0303721838	301.11085908999223	0.9720914934821634	19.9	1:04:41
11.0%	55000	1490065.8663096838	1816776.4600596838	300.7251561452557	0.9720914934821634	19.7	1:04:55
11.2%	56000	1480361.7022471838	1807501.2647471838	301.120006195401	0.9720914934821634	19.6	1:05:07
11.4%	57000	1481853.8272471838	1809261.2022471838	301.36651780971914	0.9720914934821634	19.5	1:05:20
11.6%	58000	1480270.2530284338	1807512.0967784338	301.21415234635356	0.9720914934821634	19.4	1:05:32
11.8%	59000	1480263.3233409338	1806952.6358409338	300.7055675327294	0.9720914934821634	19.3	1:05:43
12.0%	60000	1476416.8038096838	1803262.9288096838	300.8499077055005	0.9720914934821634	19.2	1:05:54
