#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
46.0%	230000	590312.6864365321	717205.5067490321	298.35100896317635	0.9626389289889488	15.8	49:11
46.2%	231000	590003.5526474696	717958.5213974696	300.84833747409107	0.9626389289889488	15.8	49:03
46.4%	232000	587722.7108505946	714460.9452255946	297.9875457639893	0.9626389289889488	15.8	48:54
46.6%	233000	587845.9452255946	716059.6874130946	301.4567668240012	0.9626389289889488	15.8	48:45
46.8%	234000	590410.4754990321	717918.3504990321	299.7971285003672	0.9626389289889488	15.8	48:36
47.0%	235000	589620.3280380946	717744.9686630946	301.2472708020308	0.9626389289889488	15.8	48:27
47.2%	236000	589781.8378037196	716677.2128037196	298.35701555670414	0.9626389289889488	15.7	48:18
47.4%	237000	588932.5995224696	715496.8260849696	297.57841775896117	0.9626389289889488	15.7	48:09
47.6%	238000	590346.4969834071	717792.3329209071	299.6512619584587	0.9626389289889488	15.7	48:00
47.8%	239000	587219.1766709071	714470.4032334071	299.1936954606698	0.9626389289889488	15.7	47:51
48.0%	240000	586210.2577255946	713348.1874130946	298.92731130366724	0.9626389289889488	15.7	47:42
48.2%	241000	586000.0321396571	712257.5243271571	296.85722242230173	0.9626389289889488	15.7	47:34
48.4%	242000	586555.3954209071	715509.9657334071	303.1986054719068	0.9626389289889488	15.7	47:24
48.6%	243000	586785.4325302821	713936.8231552821	298.9589607246103	0.9626389289889488	15.7	47:15
48.8%	244000	584204.9608505946	711671.2889755946	299.6994432881938	0.9626389289889488	15.7	47:06
49.0%	245000	586859.7596787196	713368.5174912196	297.4479993673794	0.9626389289889488	15.6	46:57
49.2%	246000	586562.0301865321	714381.7723740321	300.53039213044485	0.9626389289889488	15.6	46:47
49.4%	247000	587562.8631943446	715002.3631943446	299.63636487175825	0.9626389289889488	15.6	46:38
49.6%	248000	587692.4901474696	715804.4823349696	301.21753173499263	0.9626389289889488	15.6	46:29
49.8%	249000	587811.0126084071	715888.1766709071	301.13564368010935	0.9626389289889488	15.6	46:20
50.0%	250000	587436.4842880946	714393.9530380946	298.50301068012544	0.9626389289889488	15.6	46:12
50.2%	251000	588198.9794052821	715246.3231552821	298.714325212063	0.9626389289889488	15.6	46:02
50.4%	252000	586959.8778427821	714941.7997177821	300.91170979112724	0.9626389289889488	15.6	45:53
50.6%	253000	585988.3631943446	714084.2303818446	301.1796185574962	0.9626389289889488	15.6	45:44
50.8%	254000	585826.8963974696	713798.2557724696	300.8868751903641	0.9626389289889488	15.5	45:35
51.0%	255000	587515.3583115321	714886.1239365321	299.4747562789222	0.9626389289889488	15.5	45:25
51.2%	256000	587974.6424912196	715094.9315537196	298.88583458138675	0.9626389289889488	15.5	45:16
51.4%	257000	589113.4090927821	716794.2215927821	300.2037399815015	0.9626389289889488	15.5	45:07
51.6%	258000	588037.2518662196	714120.9549912196	296.4486087433249	0.9626389289889488	15.5	44:57
51.8%	259000	586467.1268662196	713887.0956162196	299.5904429028915	0.9626389289889488	15.5	44:47
52.0%	260000	588027.1454209071	714932.1922959071	298.379756115687	0.9626389289889488	15.5	44:38
52.2%	261000	587856.0594834071	714772.3251084071	298.4061336946041	0.9626389289889488	15.5	44:28
52.4%	262000	587607.6483505946	714856.9608505946	299.1891951077209	0.9626389289889488	15.5	44:18
52.6%	263000	586517.4754990321	713547.6473740321	298.6739506170353	0.9626389289889488	15.5	44:08
52.8%	264000	585293.8182724696	712698.7948349696	299.5551931995893	0.9626389289889488	15.5	43:58
53.0%	265000	584185.9188584071	712245.9188584071	301.0952874538692	0.9626389289889488	15.4	43:49
53.2%	266000	585612.8407334071	712563.4422959071	298.4868645158719	0.9626389289889488	15.4	43:39
53.4%	267000	586307.7342880946	713990.4530380946	300.20822196566286	0.9626389289889488	15.4	43:29
53.6%	268000	586818.8963974696	714257.6463974696	299.6346014681538	0.9626389289889488	15.4	43:19
53.8%	269000	585706.7948349696	712580.6854599696	298.3065013909506	0.9626389289889488	15.4	43:09
54.0%	270000	584802.5350693446	711791.2460068446	298.5764674615248	0.9626389289889488	15.4	42:59
54.2%	271000	585135.6493271571	712418.4696396571	299.2679788375088	0.9626389289889488	15.4	42:49
