#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
13.2%	66000	529120.0682724696	656595.9745224696	299.721963421726	0.9626389289889488	18.4	1:08:02
13.4%	67000	529932.1903427821	656561.7137802821	297.7319440852767	0.9626389289889488	18.3	1:08:05
13.6%	68000	530207.5028427821	657663.8934677821	299.6760781904343	0.9626389289889488	18.3	1:08:09
13.8%	69000	531959.5565537196	658887.8065537196	298.43431141470074	0.9626389289889488	18.2	1:08:14
14.0%	70000	531823.1171005946	658640.1483505946	298.1728133551856	0.9626389289889488	18.1	1:08:18
14.2%	71000	533690.6913193446	661635.1288193446	300.8235763484781	0.9626389289889488	18.1	1:08:22
14.4%	72000	532831.6874130946	659747.0936630946	298.4041131279739	0.9626389289889488	18	1:08:26
14.6%	73000	533592.3319443446	661275.7538193446	300.20987515654207	0.9626389289889488	18	1:08:29
14.8%	74000	535684.5692490321	663543.7254990321	300.62306266361804	0.9626389289889488	17.9	1:08:31
15.0%	75000	537244.1756943446	664188.9178818446	298.47308792521187	0.9626389289889488	17.8	1:08:34
15.2%	76000	539152.4139755946	666377.9608505946	299.13331725600375	0.9626389289889488	17.8	1:08:36
15.4%	77000	542197.7196396571	667972.4462021571	295.72214156463957	0.9626389289889488	17.7	1:08:38
15.6%	78000	543134.4129990321	670072.2411240321	298.45683154823297	0.9626389289889488	17.7	1:08:40
15.8%	79000	545146.3602646571	672143.4774521571	298.5962322769251	0.9626389289889488	17.7	1:08:32
16.0%	80000	546657.4588974696	674143.9901474696	299.7469449727896	0.9626389289889488	17.7	1:08:14
16.2%	81000	546456.8338974696	673794.0057724696	299.3957704924713	0.9626389289889488	17.8	1:07:56
16.4%	82000	548652.7909287196	675808.7440537196	298.96968809653754	0.9626389289889488	17.8	1:07:38
16.6%	83000	551648.5057724696	678333.7557724696	297.8629686468475	0.9626389289889488	17.8	1:07:21
16.8%	84000	552422.1952255946	679376.6327255946	298.49588359055736	0.9626389289889488	17.9	1:07:03
17.0%	85000	552594.3378037196	679660.1815537196	298.7578225009736	0.9626389289889488	17.9	1:06:47
17.2%	86000	555310.1151474696	682036.7948349696	297.9603783272077	0.9626389289889488	17.9	1:06:31
17.4%	87000	558409.1581162196	685429.6893662196	298.6512835332026	0.9626389289889488	17.9	1:06:16
17.6%	88000	557485.1268662196	684525.0956162196	298.69698507661883	0.9626389289889488	18	1:06:00
17.8%	89000	559243.5682724696	686544.9979599696	299.31173328944504	0.9626389289889488	18	1:05:44
18.0%	90000	560339.0858505946	687288.7889755946	298.484752105304	0.9626389289889488	18	1:05:29
18.2%	91000	560749.0213974696	687696.3963974696	298.4792782066151	0.9626389289889488	18.1	1:05:13
18.4%	92000	564079.1629990321	690930.7879990321	298.2541503464425	0.9626389289889488	18.1	1:04:57
18.6%	93000	564134.7010849696	690865.4510849696	297.96994846551956	0.9626389289889488	18.1	1:04:42
18.8%	94000	562458.8856552821	689511.5965927821	298.7269445691076	0.9626389289889488	18.1	1:04:29
19.0%	95000	563564.4413193446	690276.3163193446	297.9255694748067	0.9626389289889488	18.2	1:04:13
19.2%	96000	565772.5331162196	693233.8612412196	299.68768726416386	0.9626389289889488	18.2	1:03:59
19.4%	97000	567212.0438584071	694423.6219834071	299.10047386387015	0.9626389289889488	18.2	1:03:46
19.6%	98000	567366.9462021571	695230.8368271571	300.63419414887136	0.9626389289889488	18.2	1:03:31
19.8%	99000	568428.6561630946	696082.4999130946	300.1403309268902	0.9626389289889488	18.2	1:03:17
20.0%	100000	569528.2596787196	696597.3065537196	298.76535370386773	0.9626389289889488	18.3	1:03:03
20.2%	101000	569808.7489365321	697977.4833115321	301.35094423894446	0.9626389289889488	18.3	1:02:50
20.4%	102000	571603.8436630946	698614.7499130946	298.62865318694503	0.9626389289889488	18.3	1:02:36
20.6%	103000	572129.4872177821	698763.0106552821	297.7413489045006	0.9626389289889488	18.3	1:02:23
20.8%	104000	573434.2518662196	700099.3690537196	297.81563228133956	0.9626389289889488	18.3	1:02:09
21.0%	105000	576197.0780380946	703542.8749130946	299.41604963392285	0.9626389289889488	18.4	1:01:55
21.2%	106000	577402.0467880946	705459.6796005946	301.08972171124253	0.9626389289889488	18.4	1:01:42
21.4%	107000	577663.7889755946	705131.3046005946	299.70223534390084	0.9626389289889488	18.4	1:01:30
21.6%	108000	578612.5204209071	705859.6454209071	299.18405184720774	0.9626389289889488	18.4	1:01:17
21.8%	109000	580532.5653427821	707234.8075302821	297.9029207597616	0.9626389289889488	18.4	1:01:05
22.0%	110000	578884.5965927821	707199.1434677821	301.69377928971653	0.9626389289889488	18.4	1:00:53
22.2%	111000	581232.5262802821	708233.7606552821	298.6059126279622	0.9626389289889488	18.5	1:00:40
22.4%	112000	584031.5370224696	710812.6307724696	298.08831693247066	0.9626389289889488	18.5	1:00:29
22.6%	113000	582609.5829209071	710301.7235459071	300.23037472344424	0.9626389289889488	18.5	1:00:19
22.8%	114000	584017.5360459071	712059.4813584071	301.0528371858487	0.9626389289889488	18.5	1:00:08
23.0%	115000	585197.9237412196	711401.6893662196	296.73090027034294	0.9626389289889488	18.5	59:58
23.2%	116000	584355.2001084071	710055.5126084071	295.547178863257	0.9626389289889488	18.5	59:49
23.4%	117000	586218.3846787196	712688.5096787196	297.35716571296086	0.9626389289889488	18.5	59:38
23.6%	118000	588427.0399521571	715957.8212021571	299.8509857854542	0.9626389289889488	18.5	59:28
23.8%	119000	586188.2059677821	712668.4559677821	297.38097166162146	0.9626389289889488	18.5	59:17
24.0%	120000	587701.5536240321	713857.5536240321	296.6185935032822	0.9626389289889488	18.5	59:05
24.2%	121000	586474.2782334071	713218.5907334071	298.0018366807007	0.9626389289889488	18.5	58:54
24.4%	122000	589064.4667099696	715282.4276474696	296.76427635731534	0.9626389289889488	18.5	58:43
24.6%	123000	589027.8124130946	715437.5780380946	297.2152484603749	0.9626389289889488	18.5	58:33
24.8%	124000	589396.2538193446	716021.9803818446	297.72301685452896	0.9626389289889488	18.5	58:31
25.0%	125000	590713.4960068446	718648.8006943446	300.80210323583594	0.9626389289889488	18.5	58:29
25.2%	126000	589653.0145615321	716432.6942490321	298.0849921819247	0.9626389289889488	18.4	58:26
25.4%	127000	591013.8827255946	717967.8983505946	298.49489167602985	0.9626389289889488	18.4	58:24
25.6%	128000	592479.5985459071	720742.7860459071	301.5730228803844	0.9626389289889488	18.4	58:22
25.8%	129000	593394.3612412196	721098.5331162196	300.25866265626615	0.9626389289889488	18.3	58:20
26.0%	130000	590000.8446396571	717269.9071396571	299.235631402639	0.9626389289889488	18.3	58:17
26.2%	131000	588581.4667099696	716435.5057724696	300.611031107775	0.9626389289889488	18.2	58:15
26.4%	132000	591754.9315537196	719358.2049912196	300.02142976510027	0.9626389289889488	18.2	58:13
26.6%	133000	592480.4178818446	719526.0506943446	298.7103024475902	0.9626389289889488	18.2	58:10
26.8%	134000	592882.7733505946	721678.9842880946	302.8262701483347	0.9626389289889488	18.1	58:07
27.0%	135000	592375.7723740321	719313.7723740321	298.457235661559	0.9626389289889488	18.1	58:05
27.2%	136000	594726.0682724696	721411.0682724696	297.862380845646	0.9626389289889488	18.1	58:02
27.4%	137000	592535.6424912196	719980.4081162196	299.6487454345648	0.9626389289889488	18	57:59
27.6%	138000	593602.8329209071	720196.2001084071	297.6469333365104	0.9626389289889488	18	57:56
27.8%	139000	592721.0712021571	718843.6727646571	296.54006693652	0.9626389289889488	18	57:53
28.0%	140000	593381.5809677821	719881.1512802821	297.42639767322447	0.9626389289889488	17.9	57:50
28.2%	141000	593313.7997177821	720006.6044052821	297.88073126440514	0.9626389289889488	17.9	57:47
28.4%	142000	595065.1835068446	722430.8710068446	299.46281656701683	0.9626389289889488	17.9	57:45
28.6%	143000	591567.5936630946	718528.6405380946	298.51142358482184	0.9626389289889488	17.8	57:43
28.8%	144000	592043.2587021571	718900.7430771571	298.2679269371025	0.9626389289889488	17.8	57:41
29.0%	145000	594877.1678818446	721945.9491318446	298.7647291650912	0.9626389289889488	17.7	57:39
29.2%	146000	594418.2313584071	721197.8094834071	298.0847533876866	0.9626389289889488	17.7	57:37
29.4%	147000	593722.1337021571	721246.7508896571	299.8364928120799	0.9626389289889488	17.7	57:35
29.6%	148000	592907.8837021571	720006.8055771571	298.83559594744645	0.9626389289889488	17.6	57:33
29.8%	149000	593271.3729599696	720376.6854599696	298.8506216156597	0.9626389289889488	17.6	57:30
30.0%	150000	591186.4921005946	718290.6405380946	298.84788466631517	0.9626389289889488	17.5	57:27
30.2%	151000	590632.5096787196	717971.9315537196	299.40106070328477	0.9626389289889488	17.5	57:25
30.4%	152000	593931.1737412196	721650.6034287196	300.2945368983449	0.9626389289889488	17.5	57:21
30.6%	153000	592953.3495224696	719738.3885849696	298.09759317018177	0.9626389289889488	17.4	57:18
30.8%	154000	590621.9969834071	718777.6766709071	301.32024999495394	0.9626389289889488	17.4	57:14
31.0%	155000	590546.7674912196	718419.7831162196	300.65564889272594	0.9626389289889488	17.4	57:09
31.2%	156000	591282.2128037196	718343.5799912196	298.7472971857094	0.9626389289889488	17.4	57:05
31.4%	157000	592540.3612412196	720521.2049912196	300.9091748984458	0.9626389289889488	17.3	57:02
