#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
17.8%	89000	-47388.981381122256	18978.276431377744	295.86516901431236	0.955808202767729	45.4	26:05
18.0%	90000	-46808.660092059756	20450.668032940244	299.8420175760855	0.955808202767729	45.3	26:04
18.2%	91000	-45773.805599872256	21098.436587627744	298.1163888534847	0.955808202767729	45.2	26:02
18.4%	92000	-45188.426693622256	22157.917056377744	300.2299331453899	0.955808202767729	45.2	26:01
18.6%	93000	-45090.326107684756	22141.783267315244	299.72067641578224	0.955808202767729	45.1	25:59
18.8%	94000	-45402.449154559756	21488.910220440244	298.2016132562579	0.955808202767729	45.1	25:57
19.0%	95000	-45998.904720966006	21475.876529033994	300.8025073920558	0.955808202767729	45	25:54
19.2%	96000	-45739.951107684756	20903.939517315244	297.0983978160274	0.955808202767729	45	25:52
19.4%	97000	-44101.734799091006	22357.241763408994	296.2740511101675	0.955808202767729	44.9	25:50
19.6%	98000	-45062.810482684756	21859.189517315244	298.3382091318919	0.955808202767729	44.9	25:47
19.8%	99000	-45981.770443622256	21142.667056377744	299.24067530461747	0.955808202767729	44.8	25:46
20.0%	100000	-44750.502865497256	22180.301822002744	298.37746041996934	0.955808202767729	44.8	25:44
20.2%	101000	-44770.643490497256	21883.794009502744	297.145415774239	0.955808202767729	44.7	25:42
20.4%	102000	-44693.102474872256	21668.428775127744	295.8396400044093	0.955808202767729	44.6	25:40
20.6%	103000	-45091.252865497256	21821.278384502744	298.29599745385303	0.955808202767729	44.6	25:37
20.8%	104000	-43869.147885028506	23063.602114971494	298.3861326211506	0.955808202767729	44.6	25:35
21.0%	105000	-43931.107357684756	22995.986392315244	298.36091706430227	0.955808202767729	44.5	25:33
21.2%	106000	-42128.614193622256	25008.104556377744	299.29542510484606	0.955808202767729	44.5	25:30
21.4%	107000	-42567.654232684756	24600.314517315244	299.43473757362125	0.955808202767729	44.5	25:26
21.6%	108000	-42763.239193622256	25091.706118877744	302.49727840282293	0.955808202767729	44.4	25:24
21.8%	109000	-42108.627377216006	24587.138247783994	297.32965651419414	0.955808202767729	44.4	25:21
22.0%	110000	-42573.315365497256	25041.137759502744	301.42516447124643	0.955808202767729	44.4	25:18
22.2%	111000	-42942.497982684756	24071.392642315244	298.7478574463253	0.955808202767729	44.3	25:16
22.4%	112000	-42966.625912372256	23659.889712627744	297.0209400833884	0.955808202767729	44.1	25:19
22.6%	113000	-42827.755795184756	24588.728579815244	300.54261998155573	0.955808202767729	44	25:21
22.8%	114000	-42375.505306903506	24720.807193096494	299.1152940827198	0.955808202767729	43.8	25:24
23.0%	115000	-43100.294857684756	23869.642642315244	298.55191445899305	0.955808202767729	43.6	25:27
