#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
43.2%	216000	298.0845767740958	12	1:07:55
43.4%	217000	300.9773827428046	12	1:07:43
43.6%	218000	297.74801258903443	12	1:07:31
43.8%	219000	299.5137941195626	12	1:07:20
44.0%	220000	298.10699855929073	12	1:07:08
44.2%	221000	300.62464849383207	12	1:06:56
44.4%	222000	300.2281258173023	12	1:06:44
44.6%	223000	298.69856438844556	12	1:06:31
44.8%	224000	299.61946667425775	12	1:06:19
45.0%	225000	300.41551918439035	12	1:06:07
45.2%	226000	299.1747239702735	12	1:05:55
45.4%	227000	298.79864468612743	12	1:05:43
45.6%	228000	299.03351948068706	12	1:05:30
45.8%	229000	300.91755614419037	12	1:05:18
46.0%	230000	298.1582785009601	11.9	1:05:06
46.2%	231000	299.5760211681212	11.9	1:04:53
46.4%	232000	299.92701443141976	11.9	1:04:41
46.6%	233000	299.37520110848703	11.9	1:04:28
46.8%	234000	300.8622139026151	11.9	1:04:16
47.0%	235000	299.47227424909573	11.9	1:04:04
47.2%	236000	298.500698728743	11.9	1:03:51
47.4%	237000	298.65606851085846	11.9	1:03:38
47.6%	238000	299.5076742911329	11.9	1:03:26
47.8%	239000	298.97311255351485	11.9	1:03:13
48.0%	240000	299.90469816050813	11.9	1:03:01
48.2%	241000	299.28836285335564	11.9	1:02:48
48.4%	242000	299.5379041332898	11.9	1:02:36
48.6%	243000	300.5886945018077	11.9	1:02:23
48.8%	244000	300.220080353203	11.9	1:02:11
49.0%	245000	298.3843164742959	11.8	1:01:58
49.2%	246000	299.4192533217524	11.8	1:01:46
49.4%	247000	300.3870303279074	11.8	1:01:33
49.6%	248000	300.87701228084376	11.8	1:01:20
49.8%	249000	299.72305532185834	11.8	1:01:07
50.0%	250000	299.3071180172069	11.8	1:00:55
50.2%	251000	300.68880117806043	11.8	1:00:42
50.4%	252000	299.7976011629888	11.8	1:00:29
50.6%	253000	300.3861862136412	11.8	1:00:16
50.8%	254000	299.34784653054925	11.8	1:00:03
51.0%	255000	299.6358477667355	11.8	59:50
51.2%	256000	299.8456101618768	11.8	59:37
51.4%	257000	299.7017678152086	11.8	59:24
51.6%	258000	298.52974153521313	11.8	59:11
51.8%	259000	299.5141106624124	11.8	58:58
52.0%	260000	298.8274237068894	11.8	58:45
52.2%	261000	299.5076742911329	11.8	58:32
52.4%	262000	300.33126602919907	11.8	58:19
52.6%	263000	299.45845187798733	11.7	58:05
52.8%	264000	299.73732612867065	11.7	57:52
53.0%	265000	299.1284559570595	11.7	57:39
53.2%	266000	298.74786593730363	11.7	57:26
53.4%	267000	300.51261870356984	11.7	57:13
53.6%	268000	299.61938753854525	11.7	56:59
53.8%	269000	299.81297986977546	11.7	56:46
54.0%	270000	300.71111744897206	11.7	56:32
54.2%	271000	299.84972521892433	11.7	56:19
54.4%	272000	299.5284078477955	11.7	56:05
54.6%	273000	300.439866605255	11.7	55:52
54.8%	274000	298.81856050709473	11.7	55:38
55.0%	275000	299.4539411423775	11.7	55:25
55.2%	276000	299.1105712860452	11.7	55:11
55.4%	277000	298.98664476034423	11.7	54:58
55.6%	278000	301.55354348660194	11.7	54:44
55.8%	279000	300.122479641178	11.7	54:30
56.0%	280000	299.20521759813863	11.7	54:17
56.2%	281000	299.32600507391226	11.7	54:03
56.4%	282000	299.4973338913724	11.7	53:50
56.6%	283000	298.89608712672754	11.7	53:36
56.8%	284000	298.58091596259925	11.7	53:22
57.0%	285000	299.97391553033344	11.7	53:08
57.2%	286000	298.9039479408312	11.6	52:54
57.4%	287000	300.60868945848745	11.6	52:41
57.6%	288000	299.2047955410055	11.6	52:27
57.8%	289000	301.19917376623874	11.6	52:13
58.0%	290000	299.57248643963163	11.6	51:59
58.2%	291000	298.41855585921707	11.6	51:45
58.4%	292000	299.0227306452227	11.6	51:31
