#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
33.0%	165000	-50920.104697134346	73415.00467786565	297.1766262065396	0.9750113796718786	15	1:04:30
33.2%	166000	-51485.335165884346	72652.24295911565	296.70450155292855	0.9750113796718786	14.9	1:04:20
33.4%	167000	-52603.727744009346	71744.79569349065	297.20868751132724	0.9750113796718786	14.9	1:04:10
33.6%	168000	-53093.836142446846	72754.91385755315	300.79441861037293	0.9750113796718786	14.9	1:04:00
33.8%	169000	-52428.697470571846	72289.69315442815	298.0927168372213	0.9750113796718786	14.9	1:03:51
34.0%	170000	-52629.778525259346	72288.08084974065	298.5694723607143	0.9750113796718786	14.9	1:03:41
34.2%	171000	-51107.561728384346	73604.57889661565	298.07777854727954	0.9750113796718786	14.9	1:03:31
34.4%	172000	-54023.677939321846	71161.42362317815	299.20821496576383	0.9750113796718786	14.9	1:03:22
34.6%	173000	-53092.868369009346	71777.64725599065	298.45631481440506	0.9750113796718786	14.9	1:03:12
34.8%	174000	-50914.932822134346	74784.97342786565	300.4386632354086	0.9750113796718786	14.9	1:03:03
35.0%	175000	-52018.095908071846	73249.88065442815	299.40629669039225	0.9750113796718786	14.9	1:02:53
35.2%	176000	-52448.369345571846	72495.19315442815	298.6309060781	0.9750113796718786	14.9	1:02:43
35.4%	177000	-51486.703329946846	73706.10917005315	299.22664508097955	0.9750113796718786	14.9	1:02:34
35.6%	178000	-50891.608603384346	73399.62577161565	297.07175941114804	0.9750113796718786	14.9	1:02:25
35.8%	179000	-53090.764853384346	71597.03202161565	298.0195939079561	0.9750113796718786	14.8	1:02:15
36.0%	180000	-52033.465048696846	72534.33182630315	297.73277874107333	0.9750113796718786	14.8	1:02:06
36.2%	181000	-53246.375204946846	71926.32792005315	299.17858113309177	0.9750113796718786	14.8	1:01:56
36.4%	182000	-53449.848837759346	70961.68241224065	297.35928414680313	0.9750113796718786	14.8	1:01:46
36.6%	183000	-54388.424033071846	71347.37284192815	300.5244463653995	0.9750113796718786	14.8	1:01:36
36.8%	184000	-54222.362509634346	69566.59061536565	295.8712437399742	0.9750113796718786	14.8	1:01:26
37.0%	185000	-53668.368369009346	71543.92850599065	299.27321519987316	0.9750113796718786	14.8	1:01:15
37.2%	186000	-54372.751181509346	71622.28006849065	301.14404928646104	0.9750113796718786	14.8	1:01:05
37.4%	187000	-52954.916220571846	72479.39627942815	299.80386060433125	0.9750113796718786	14.8	1:00:55
37.6%	188000	-55988.712119009346	68986.54569349065	298.70666188096743	0.9750113796718786	14.8	1:00:45
37.8%	189000	-55735.597861196846	68760.05838880315	297.56035352941996	0.9750113796718786	14.8	1:00:35
38.0%	190000	-55381.454306509346	69915.63163099065	299.4758717757963	0.9750113796718786	14.8	1:00:25
38.2%	191000	-56676.345908071846	69166.18534192815	300.7795550118808	0.9750113796718786	14.8	1:00:14
38.4%	192000	-54423.496298696846	70235.64432630315	297.95110184857293	0.9750113796718786	14.8	1:00:04
38.6%	193000	-56540.565634634346	68847.84842786565	299.6941575375711	0.9750113796718786	14.8	59:55
38.8%	194000	-55730.022665884346	69389.65702161565	299.0518484157979	0.9750113796718786	14.7	59:45
39.0%	195000	-55314.024619009346	70454.63163099065	300.6029844247686	0.9750113796718786	14.7	59:35
39.2%	196000	-55465.012900259346	69457.06522474065	298.579555706425	0.9750113796718786	14.7	59:25
39.4%	197000	-58883.636923696846	65637.29276380315	297.62076023937215	0.9750113796718786	14.7	59:15
39.6%	198000	-58345.686728384346	66617.20389661565	298.67710273974507	0.9750113796718786	14.7	59:05
39.8%	199000	-56070.645712759346	69037.26053724065	299.02370841212	0.9750113796718786	14.7	58:55
40.0%	200000	-56285.464072134346	68351.73905286565	297.89866845087715	0.9750113796718786	14.7	58:45
40.2%	201000	-57775.269736196846	67219.80838880315	298.7540349329454	0.9750113796718786	14.7	58:35
40.4%	202000	-56923.605673696846	68577.46463880315	299.9634202137722	0.9750113796718786	14.7	58:25
40.6%	203000	-56395.360556509346	68300.61600599065	298.03914439491746	0.9750113796718786	14.7	58:15
40.8%	204000	-54922.524619009346	69814.81913099065	298.1380172014699	0.9750113796718786	14.7	58:05
41.0%	205000	-56140.387900259346	69096.55741224065	299.3321280808312	0.9750113796718786	14.7	57:55
41.2%	206000	-57734.580283071846	66087.74002942815	295.95099553540103	0.9750113796718786	14.7	57:45
41.4%	207000	-58627.936728384346	66476.71952161565	299.01594050135026	0.9750113796718786	14.7	57:35
41.6%	208000	-58370.851767446846	67075.68729505315	299.8330836340299	0.9750113796718786	14.6	57:24
41.8%	209000	-57818.821494009346	67318.49881849065	299.09401173915865	0.9750113796718786	14.6	57:14
42.0%	210000	-59577.745322134346	65785.80155286565	299.63472181646506	0.9750113796718786	14.6	57:04
42.2%	211000	-59704.615439321846	64944.001748178154	297.92594950288344	0.9750113796718786	14.6	56:54
42.4%	212000	-59465.140829946846	65276.718545053154	298.14881011595287	0.9750113796718786	14.6	56:44
42.6%	213000	-59307.297079946846	67206.40604505315	302.3837406230073	0.9750113796718786	14.6	56:33
42.8%	214000	-58958.665244009346	64956.178505990654	296.17213824512714	0.9750113796718786	14.6	56:23
43.0%	215000	-59020.305869009346	65608.17850599065	297.87782953640834	0.9750113796718786	14.6	56:13
43.2%	216000	-58968.073447134346	66205.86405286565	299.18153144535523	0.9750113796718786	14.6	56:02
43.4%	217000	-59067.849814321846	65327.806435678154	297.3213408903509	0.9750113796718786	14.6	55:52
43.6%	218000	-58665.312704946846	66446.34354505315	299.0326713860851	0.9750113796718786	14.6	55:41
43.8%	219000	-59491.751181509346	65538.81131849065	298.8388470740901	0.9750113796718786	14.6	55:31
44.0%	220000	-58893.519736196846	65801.16776380315	298.03606337261704	0.9750113796718786	14.6	55:20
44.2%	221000	-59906.220908071846	64387.950966928154	297.0787804074207	0.9750113796718786	14.6	55:10
44.4%	222000	-58996.946494009346	65721.99100599065	298.0940239375912	0.9750113796718786	14.6	55:00
44.6%	223000	-60612.399619009346	65920.67850599065	302.4300493218269	0.9750113796718786	14.6	54:49
44.8%	224000	-57952.925986196846	67002.08963880315	298.6582804944184	0.9750113796718786	14.5	54:39
45.0%	225000	-61182.592001821846	64267.001748178154	299.84038472323897	0.9750113796718786	14.5	54:28
45.2%	226000	-59423.713095571846	65541.56815442815	298.68281663564784	0.9750113796718786	14.5	54:17
45.4%	227000	-60166.623251821846	63998.634560678154	296.7706595045084	0.9750113796718786	14.5	54:07
