#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
39.8%	199000	300.2214596508549	23	37:38
40.0%	200000	299.5874303052002	23	37:31
40.2%	201000	298.53209461364287	23	37:25
40.4%	202000	297.40375383100996	23	37:19
40.6%	203000	298.40061921524915	23	37:12
40.8%	204000	299.43019706217285	23	37:06
41.0%	205000	299.032827113319	23	36:59
41.2%	206000	299.8653942457171	23	36:53
41.4%	207000	300.545824508633	22.9	36:46
41.6%	208000	299.15451453075207	22.9	36:39
41.8%	209000	296.33044284359056	22.9	36:33
42.0%	210000	301.1544639788633	22.9	36:26
42.2%	211000	300.2233914892024	22.9	36:19
42.4%	212000	300.69873411345407	22.9	36:12
42.6%	213000	298.6873408229414	22.9	36:06
42.8%	214000	300.1555563655139	22.9	35:59
43.0%	215000	299.13468099038425	22.9	35:52
43.2%	216000	298.8713990213085	22.9	35:45
43.4%	217000	296.435516451235	22.9	35:38
43.6%	218000	297.6703475229672	22.9	35:32
43.8%	219000	299.05315741211905	22.8	35:25
44.0%	220000	298.7788731636927	22.8	35:18
44.2%	221000	297.08336304068956	22.8	35:11
44.4%	222000	299.6923015297796	22.8	35:04
44.6%	223000	299.0661283267381	22.8	34:57
44.8%	224000	296.5664766927361	22.8	34:50
45.0%	225000	297.8901539299936	22.8	34:43
45.2%	226000	298.7457375364177	22.8	34:36
45.4%	227000	299.94104871509785	22.8	34:29
45.6%	228000	297.2155927759619	22.8	34:22
45.8%	229000	296.9652817215052	22.8	34:15
46.0%	230000	298.2603125558381	22.8	34:08
46.2%	231000	299.3055658910674	22.8	34:01
46.4%	232000	298.070808413177	22.8	33:54
46.6%	233000	297.87552715393383	22.8	33:47
46.8%	234000	299.0119448607054	22.7	33:40
47.0%	235000	297.6433017861019	22.7	33:33
47.2%	236000	298.8899630679051	22.7	33:26
47.4%	237000	299.2031416617281	22.7	33:19
47.6%	238000	298.7317179095529	22.7	33:12
47.8%	239000	300.6054907158806	22.7	33:05
48.0%	240000	302.1771608015778	22.7	32:58
48.2%	241000	299.4163614199125	22.7	32:51
48.4%	242000	301.67068798224045	22.7	32:44
48.6%	243000	299.5775319334767	22.7	32:37
48.8%	244000	300.82067910933347	22.7	32:30
49.0%	245000	298.7109276492415	22.7	32:22
49.2%	246000	301.46418366212123	22.7	32:15
49.4%	247000	298.9640168712266	22.7	32:08
49.6%	248000	300.54703880702294	22.7	32:01
49.8%	249000	296.8663348011915	22.7	31:54
50.0%	250000	298.75591188504796	22.7	31:46
50.2%	251000	302.0863460007841	22.7	31:39
50.4%	252000	296.4901966756999	22.6	31:32
50.6%	253000	296.67922245838923	22.6	31:25
50.8%	254000	300.25205629058746	22.6	31:18
51.0%	255000	299.68472136407314	22.6	31:10
51.2%	256000	300.5845532678856	22.6	31:03
51.4%	257000	300.9263598661728	22.6	30:56
51.6%	258000	299.13872865168383	22.6	30:49
51.8%	259000	301.6116841195692	22.6	30:42
52.0%	260000	297.44987877136447	22.6	30:35
52.2%	261000	298.7521769975761	22.6	30:28
52.4%	262000	298.765387092181	22.6	30:20
52.6%	263000	300.82152543851424	22.6	30:13
52.8%	264000	299.3088224185675	22.6	30:06
53.0%	265000	300.39817686350153	22.6	29:59
53.2%	266000	298.0135892011696	22.6	29:51
53.4%	267000	299.8846942307318	22.6	29:44
53.6%	268000	301.1626696922251	22.6	29:37
53.8%	269000	299.96187577233013	22.5	29:30
54.0%	270000	298.8958689737104	22.5	29:23
54.2%	271000	299.2273724341441	22.5	29:15
54.4%	272000	300.3004442415776	22.5	29:08
54.6%	273000	299.4137856354492	22.5	29:01
54.8%	274000	298.9017196841343	22.5	28:53
55.0%	275000	300.1815533901334	22.5	28:46
55.2%	276000	295.6519076221012	22.5	28:39
55.4%	277000	298.3769955920281	22.5	28:32
55.6%	278000	298.3505754028182	22.5	28:25
55.8%	279000	296.72095016669556	22.5	28:18
56.0%	280000	299.05998324094696	22.5	28:11
56.2%	281000	298.73019083733533	22.5	28:04
56.4%	282000	299.6194436263876	22.5	27:57
56.6%	283000	299.42791565307675	22.4	27:50
56.8%	284000	297.0066782575234	22.4	27:43
57.0%	285000	293.8550955758464	22.4	27:36
57.2%	286000	299.3907507629626	22.4	27:28
57.4%	287000	297.22571192921083	22.4	27:21
57.6%	288000	298.8370674941041	22.4	27:14
57.8%	289000	299.3717819502361	22.4	27:07
58.0%	290000	300.55625643570966	22.4	27:00
58.2%	291000	300.4162809485868	22.4	26:53
58.4%	292000	299.4928254215533	22.4	26:46
58.6%	293000	300.65382347148943	22.4	26:38
58.8%	294000	297.7463699615571	22.4	26:31
59.0%	295000	298.4841482257036	22.4	26:24
59.2%	296000	301.482471731811	22.4	26:17
59.4%	297000	299.172765803521	22.3	26:09
59.6%	298000	298.36200084675926	22.3	26:02
59.8%	299000	300.348960981791	22.3	25:55
60.0%	300000	300.27004998491003	22.3	25:48
60.2%	301000	299.92839057430655	22.3	25:40
60.4%	302000	300.46477929033966	22.3	25:33
60.6%	303000	299.91512528432025	22.3	25:25
60.8%	304000	301.2701534981888	22.3	25:18
61.0%	305000	299.16260985335117	22.3	25:10
61.2%	306000	299.34317234423236	22.3	25:03
61.4%	307000	299.5661800833775	22.3	24:55
61.6%	308000	300.1712318538195	22.3	24:48
61.8%	309000	298.85057196407627	22.3	24:40
62.0%	310000	299.07952240594756	22.3	24:33
62.2%	311000	299.64249689733464	22.3	24:25
62.4%	312000	301.2208088272551	22.3	24:18
62.6%	313000	298.83758265099675	22.3	24:10
62.8%	314000	300.02380499021336	22.3	24:03
63.0%	315000	296.2224622791947	22.3	23:55
63.2%	316000	299.2359093197941	22.3	23:47
63.4%	317000	298.3813744256157	22.3	23:40
63.6%	318000	301.91496434166874	22.3	23:32
63.8%	319000	301.65063366034724	22.3	23:25
64.0%	320000	298.91890384619694	22.2	23:17
64.2%	321000	298.5489844003383	22.2	23:10
64.4%	322000	299.540587824888	22.2	23:02
64.6%	323000	298.6170403055522	22.2	22:55
64.8%	324000	300.5386307105961	22.2	22:47
65.0%	325000	298.0094311491074	22.2	22:40
65.2%	326000	297.81865751267503	22.2	22:32
65.4%	327000	298.57978342313584	22.2	22:24
65.6%	328000	299.0719422402411	22.2	22:17
65.8%	329000	302.0548294380289	22.2	22:09
66.0%	330000	300.590624759835	22.2	22:02
66.2%	331000	296.6675762329228	22.2	21:54
66.4%	332000	300.2460951894009	22.2	21:47
66.6%	333000	298.86610026469816	22.2	21:39
66.8%	334000	301.21212475392156	22.2	21:31
67.0%	335000	299.0516119414411	22.2	21:24
67.2%	336000	299.2811695325073	22.2	21:16
67.4%	337000	296.8170637240996	22.2	21:09
67.6%	338000	299.04239431275437	22.2	21:01
67.8%	339000	297.04163533238324	22.2	20:53
68.0%	340000	298.20419725145786	22.2	20:46
68.2%	341000	297.93443902430283	22.2	20:38
68.4%	342000	300.38577630115645	22.2	20:30
68.6%	343000	300.2147810097107	22.2	20:23
68.8%	344000	298.6481521021775	22.2	20:15
69.0%	345000	298.5709337636582	22.2	20:08
69.2%	346000	299.32146216089836	22.2	20:00
69.4%	347000	299.0711695049021	22.2	19:53
69.6%	348000	299.3054187033838	22.2	19:45
69.8%	349000	296.3527601761195	22.2	19:37
70.0%	350000	299.5967399261892	22.1	19:30
70.2%	351000	298.79530298887687	22.1	19:22
70.4%	352000	299.4652461293349	22.1	19:14
70.6%	353000	297.4595931584834	22.1	19:07
70.8%	354000	299.56884786014314	22.1	18:59
71.0%	355000	299.7343788088346	22.1	18:51
71.2%	356000	299.59120198959295	22.1	18:44
71.4%	357000	300.4504652881076	22.1	18:36
71.6%	358000	299.78543453659034	22.1	18:28
71.8%	359000	299.0065541117928	22.1	18:21
72.0%	360000	298.5678612207626	22.1	18:13
72.2%	361000	299.77730241707036	22.1	18:05
72.4%	362000	301.89450525364555	22.1	17:57
72.6%	363000	297.35102384335306	22.1	17:50
72.8%	364000	297.63976928169507	22.1	17:42
73.0%	365000	297.8342042117574	22.1	17:35
73.2%	366000	298.17970890059553	22.1	17:27
73.4%	367000	300.4265472895193	22.1	17:19
73.6%	368000	294.9398688041277	22.1	17:12
73.8%	369000	297.01852686605486	22.1	17:04
74.0%	370000	298.797179631843	22.1	16:57
74.2%	371000	298.2829058652738	22.1	16:49
74.4%	372000	298.4326693333574	22.1	16:41
74.6%	373000	296.9025981667435	22.1	16:33
74.8%	374000	298.5624520733896	22.1	16:26
75.0%	375000	298.83401334966896	22.1	16:18
75.2%	376000	298.59630524062226	22.1	16:10
75.4%	377000	299.43119057903726	22.1	16:03
75.6%	378000	300.4443753976978	22.1	15:55
75.8%	379000	300.62900394833895	22.1	15:47
76.0%	380000	299.84252495937454	22.1	15:39
76.2%	381000	298.4966959757322	22.1	15:32
76.4%	382000	298.12405355772665	22.1	15:23
76.6%	383000	296.4762874395978	22.1	15:14
76.8%	384000	297.79939432458127	22.1	15:05
77.0%	385000	296.7010246340255	22.2	14:56
77.2%	386000	297.10389572255457	22.2	14:47
77.4%	387000	298.26292513722234	22.2	14:38
77.6%	388000	298.2487951195948	22.3	14:29
77.8%	389000	299.1105422102706	22.3	14:20
78.0%	390000	300.8682575280637	22.3	14:11
78.2%	391000	298.03691844902346	22.3	14:02
78.4%	392000	298.1507313253828	22.4	13:54
78.6%	393000	299.7931250930595	22.4	13:45
78.8%	394000	297.1195712108602	22.4	13:36
79.0%	395000	298.1680626751291	22.5	13:27
79.2%	396000	298.7902802091733	22.5	13:19
79.4%	397000	298.4015759351926	22.5	13:10
79.6%	398000	296.53821665748103	22.5	13:01
79.8%	399000	298.1397658429531	22.6	12:53
80.0%	400000	299.19546950371944	22.6	12:44
80.2%	401000	296.78072676470583	22.6	12:35
80.4%	402000	298.1452301857075	22.7	12:27
80.6%	403000	298.4844793979918	22.7	12:18
80.8%	404000	299.6849421455986	22.7	12:10
81.0%	405000	298.8394776924234	22.7	12:01
81.2%	406000	297.07883701941824	22.8	11:53
81.4%	407000	296.01087998399055	22.8	11:44
81.6%	408000	297.26977624199463	22.8	11:36
81.8%	409000	301.2701167012679	22.9	11:27
82.0%	410000	298.54731014043716	22.9	11:19
82.2%	411000	297.69790841672506	22.9	11:11
82.4%	412000	296.4121504064603	22.9	11:02
82.6%	413000	297.1344003699849	23	10:54
82.8%	414000	298.85149188709886	23	10:46
83.0%	415000	300.16236379588133	23	10:37
83.2%	416000	298.9245889704768	23.1	10:29
83.4%	417000	300.90052842769745	23.1	10:21
83.6%	418000	300.80540838715785	23.1	10:13
83.8%	419000	299.3496118053908	23.1	10:04
84.0%	420000	300.1886551958681	23.2	9:56
84.2%	421000	297.31249746716543	23.2	9:48
84.4%	422000	298.37239597691496	23.2	9:40
84.6%	423000	301.35589032389765	23.2	9:32
84.8%	424000	297.0488107319597	23.3	9:24
85.0%	425000	301.3103173373567	23.3	9:16
85.2%	426000	298.5403371239256	23.3	9:08
85.4%	427000	298.8132230893576	23.3	9:00
85.6%	428000	298.6480049144938	23.4	8:52
85.8%	429000	298.56366637177945	23.4	8:44
86.0%	430000	301.1657422351207	23.4	8:36
86.2%	431000	300.0646679708784	23.5	8:28
86.4%	432000	296.84852509147345	23.5	8:20
86.6%	433000	298.54891080649656	23.5	8:12
86.8%	434000	298.5827639737292	23.5	8:04
87.0%	435000	297.8172408312202	23.6	7:56
87.2%	436000	298.3542918918296	23.6	7:48
87.4%	437000	297.7961193986207	23.6	7:40
87.6%	438000	300.3659795577095	23.6	7:33
87.8%	439000	301.4627117852851	23.7	7:25
88.0%	440000	298.56822918997165	23.7	7:17
88.2%	441000	300.3358796764092	23.7	7:09
88.4%	442000	298.0301478155769	23.7	7:02
88.6%	443000	300.0636560555535	23.8	6:54
88.8%	444000	298.3048368301332	23.8	6:46
89.0%	445000	298.93446894373983	23.8	6:39
89.2%	446000	300.67402498106634	23.8	6:31
89.4%	447000	298.9627289789949	23.9	6:23
89.6%	448000	300.93331448422384	23.9	6:16
89.8%	449000	300.99134322849113	23.9	6:08
90.0%	450000	300.0063816481648	23.9	6:01
90.2%	451000	299.1016925507929	24	5:53
90.4%	452000	301.17008427178746	24	5:46
90.6%	453000	300.3810294983597	24	5:38
90.8%	454000	299.16325379946704	24	5:31
91.0%	455000	296.6225735986559	24	5:23
91.2%	456000	299.23690283665854	24	5:16
91.4%	457000	299.8538216140924	24.1	5:08
91.6%	458000	300.1765122119694	24.1	5:01
91.8%	459000	298.05516972179237	24.1	4:53
92.0%	460000	298.4589055379627	24.1	4:46
92.2%	461000	298.50703591050654	24.2	4:39
92.4%	462000	297.8295677997234	24.2	4:31
92.6%	463000	299.7135333531418	24.2	4:24
92.8%	464000	297.5098025570584	24.2	4:16
93.0%	465000	298.3021138579863	24.2	4:09
93.2%	466000	299.30915359085566	24.3	4:02
93.4%	467000	298.27714714715216	24.3	3:54
93.6%	468000	298.65409480490365	24.3	3:47
93.8%	469000	301.9996156582108	24.3	3:40
94.0%	470000	300.7928238402083	24.3	3:32
94.2%	471000	299.5853328807086	24.4	3:25
94.4%	472000	297.193275443433	24.4	3:18
94.6%	473000	299.1342026304125	24.4	3:11
94.8%	474000	297.36055424586743	24.4	3:03
95.0%	475000	297.95938733667646	24.4	2:56
95.2%	476000	298.5317082459734	24.5	2:49
95.4%	477000	299.3329979956021	24.5	2:42
95.6%	478000	300.24158756659	24.5	2:35
95.8%	479000	297.24733012024257	24.5	2:27
96.0%	480000	298.93627199286414	24.5	2:20
96.2%	481000	299.3732354286118	24.6	2:13
96.4%	482000	301.2610646587253	24.6	2:06
96.6%	483000	297.5567370296728	24.6	1:59
96.8%	484000	298.71611601508914	24.6	1:52
97.0%	485000	299.4575739713262	24.6	1:45
97.2%	486000	298.76956354270374	24.7	1:38
97.4%	487000	298.74382409653066	24.7	1:31
97.6%	488000	298.960741945266	24.7	1:23
97.8%	489000	297.34776731585293	24.7	1:16
98.0%	490000	298.9690580493906	24.7	1:09
98.2%	491000	301.18940265526265	24.8	1:02
98.4%	492000	298.3086453114469	24.8	0:55
98.6%	493000	300.3610119733874	24.8	0:48
98.8%	494000	299.48496927894	24.8	0:41
99.0%	495000	299.15127640171244	24.8	0:34
99.2%	496000	298.2234604395517	24.9	0:27
99.4%	497000	299.96198616309283	24.9	0:20
99.6%	498000	297.70854272686665	24.9	0:13
99.8%	499000	299.69793145867806	24.9	0:06
100.0%	500000	298.6153476471906	24.9	0:00
